draw,age,year,Na
93,5,2020,4240322
93,6,2020,1826025
93,7,2020,3425587
94,0,2020,49845300
94,1,2020,39616400
94,2,2020,32326700
94,3,2020,17913200
94,4,2020,8465900
94,5,2020,4472050
94,6,2020,3428010
94,7,2020,3951920
95,0,2020,50327700
95,1,2020,32417600
95,2,2020,36885600
95,3,2020,16424100
95,4,2020,8512090
95,5,2020,3700840
95,6,2020,3459540
95,7,2020,3831910
96,0,2020,35915850
96,1,2020,36359490
96,2,2020,25896730
96,3,2020,21556450
96,4,2020,9508625
96,5,2020,3955732
96,6,2020,1933444
96,7,2020,4829001
97,0,2020,49652000
97,1,2020,34906000
97,2,2020,31932000
97,3,2020,17743600
97,4,2020,8171920
97,5,2020,4179520
97,6,2020,3193790
97,7,2020,3526230
98,0,2020,39982770
98,1,2020,36862000
98,2,2020,23447190
98,3,2020,22303460
98,4,2020,8212333
98,5,2020,4028522
98,6,2020,1953038
98,7,2020,3258832
99,0,2020,50488500
99,1,2020,40846200
99,2,2020,34331000
99,3,2020,16011300
99,4,2020,7987850
99,5,2020,3880750
99,6,2020,3302150
99,7,2020,4225970
100,0,2020,29849140
100,1,2020,35680810
100,2,2020,24251590
100,3,2020,22980340
100,4,2020,10972720
100,5,2020,4078815
100,6,2020,2077341
100,7,2020,3423753
